PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
I-B-XA1207672-190520-00632,162.8,164.4,150.7,119.51,11.88,12.29,,11.97,6.61,23.99,17.9,92.45,6.6
I-B-XA1207672-190508-03689,122.8,177.09,145.5,118.82,12.07,12.27,,11.97,6.62,25.35,21.4,104.67,6.61
I-B-XA1207672-190715-00577,189.6,164.47,186.7,110.46,11.85,12.25,,11.97,6.64,27.49,17.3,103.39,6.6
I-B-XA1207672-190503-00796,141.8,161.14,169.9,113.2,12.07,12.24,,11.98,6.62,23.71,16.5,99.84,6.6
I-B-XA1207672-190712-01837,155.1,165.67,166.1,112.58,11.84,12.18,,11.97,6.61,27.38,21.5,102.64,6.6
I-B-XA1207672-190503-00203,170.5,170.1,165.6,115.12,12.06,12.36,,11.97,6.61,24.54,9.7,98.15,6.63
I-B-XA1207672-190706-02078,184.1,145.95,152.8,110.07,11.79,12.34,,11.97,6.61,24.1,11.1,94.22,6.61
I-B-XA1207672-190503-00862,131,176.73,144.8,114.31,12.06,12.08,,11.97,6.62,25.39,24.7,101.35,6.6
I-B-XA1207672-190906-01177,168.7,145.12,197.8,114,12.04,12.36,0.41,11.97,6.43,21.6,11.2,101.82,6.39
I-B-XA1207672-190504-01615,185.3,170.9,161.1,114.75,12.06,12.32,,11.97,6.62,22.7,44.9,103.42,6.63
I-B-XA1207672-190629-00706,134,157.41,162.1,109.66,11.75,12.38,,11.97,6.61,26.68,10.1,109.46,6.61
I-B-XA1207672-190508-02319,182.5,155.04,164.3,111.39,12.09,12.16,,11.97,6.61,22.52,28.9,93.68,6.6
I-B-XA1207672-190815-00441,131.3,167.14,129.5,108.94,11.82,12.46,0.41,11.97,6.62,30.59,16.7,113.45,6.61
I-B-XA1207672-190904-01450,136.6,137.42,151.3,117.49,12.1,12.25,0.35,11.97,6.41,21.4,13.9,94.52,6.4
I-B-XA1207672-190822-00410,172.3,152.71,173.8,115.2,11.86,12.19,0.39,11.97,6.6,22.83,47.2,95.69,6.6
I-B-XA1207672-190706-02684,186.1,169.8,175.4,108.51,11.76,12.3,,11.97,6.61,26.29,43,97.73,6.62
I-B-XA1207672-190713-00375,156.3,164.9,158.4,112.21,11.84,12.23,,11.97,6.61,27.83,22.3,104.19,6.64
