PROC_TRACEINFO,Binar OP130_Resultat_Global_v
I-B-XA1207672-190429-00688,0
I-B-XA1207672-190828-00973,0
I-B-XA1207672-190712-03462,0
I-B-XA1207672-190803-00051,0
I-B-XA1207672-190508-03248,0
I-B-XA1207672-190528-02374,0
I-B-XA1207672-190830-03109,0
I-B-XA1207672-190706-01534,0
I-B-XA1207672-190504-00200,0
I-B-XA1207672-190528-01796,0
I-B-XA1207672-190508-03614,0
I-B-XA1207672-190831-00279,0
I-B-XA1207672-190502-02488,0
I-B-XA1207672-190703-01093,0
I-B-XA1207672-190610-00804,0
I-B-XA1207672-190830-02947,0
I-B-XA1207672-190905-04329,0
I-B-XA1207672-190508-01170,0
I-B-XA1207672-190520-00881,0
I-B-XA1207672-190503-04243,0
I-B-XA1207672-190727-01155,0
I-B-XA1207672-190429-00813,0
I-B-XA1207672-190627-00920,0
I-B-XA1207672-190802-02964,0
I-B-XA1207672-190503-03343,0
I-B-XA1207672-190802-02973,0
I-B-XA1207672-190429-00702,0
I-B-XA1207672-190503-04159,0
I-B-XA1207672-190503-00072,0
I-B-XA1207672-190706-01804,0
I-B-XA1207672-190527-00320,0
I-B-XA1207672-190531-00072,0
I-B-XA1207672-190528-01542,0
I-B-XA1207672-190425-00344,0
I-B-XA1207672-190713-00876,0
I-B-XA1207672-190828-00779,0
I-B-XA1207672-190905-00467,0
I-B-XA1207672-190706-02384,0
I-B-XA1207672-190828-01227,0
I-B-XA1207672-190831-00922,0
I-B-XA1207672-190508-03652,1
I-B-XA1207672-190503-03182,0
I-B-XA1207672-190513-00785,0
I-B-XA1207672-190424-02800,0
I-B-XA1207672-190828-01046,0
I-B-XA1207672-190508-02684,0
I-B-XA1207672-190503-00444,0
I-B-XA1207672-190504-00603,0
I-B-XA1207672-190530-03472,0
I-B-XA1207672-190530-03982,0
I-B-XA1207672-190831-00576,0
I-B-XA1207672-190530-04215,0
I-B-XA1207672-190610-00912,0
I-B-XA1207672-190906-01530,0
I-B-XA1207672-190831-00527,0
I-B-XA1207672-190706-02192,0
I-B-XA1207672-190424-03114,0
I-B-XA1207672-190712-01534,0
I-B-XA1207672-190503-03440,0
I-B-XA1207672-190502-01188,0
I-B-XA1207672-190715-00531,0
I-B-XA1207672-190906-00145,0
I-B-XA1207672-190528-02990,0
I-B-XA1207672-190424-01006,0
I-B-XA1207672-190508-03903,0
I-B-XA1207672-190831-00144,0
I-B-XA1207672-190610-00910,0
I-B-XA1207672-190706-01941,0
I-B-XA1207672-190801-01993,0
I-B-XA1207672-190907-01104,0
I-B-XA1207672-190531-00267,1
I-B-XA1207672-190907-02593,0
I-B-XA1207672-190422-00134,0
I-B-XA1207672-190513-01363,0
I-B-XA1207672-190803-00387,0
I-B-XA1207672-190906-00101,0
I-B-XA1207672-190907-01288,0
I-B-XA1207672-190822-00518,0
I-B-XA1207672-190627-01473,0
I-B-XA1207672-190422-00164,0
I-B-XA1207672-190821-01077,0
I-B-XA1207672-190802-01630,0
I-B-XA1207672-190504-01161,0
I-B-XA1207672-190425-00036,0
I-B-XA1207672-190513-00041,0
I-B-XA1207672-190425-00237,0
I-B-XA1207672-190712-01467,0
I-B-XA1207672-190906-03629,0
I-B-XA1207672-190509-00032,0
I-B-XA1207672-190508-03685,0
I-B-XA1207672-190815-01845,0
I-B-XA1207672-190528-02077,0
I-B-XA1207672-190528-01714,0
I-B-XA1207672-190905-00706,0
I-B-XA1207672-190429-00457,0
I-B-XA1207672-190503-00754,0
I-B-XA1207672-190713-00014,0
I-B-XA1207672-190906-01547,0
I-B-XA1207672-190527-00306,0
I-B-XA1207672-190520-01050,0
I-B-XA1207672-190907-01006,0
I-B-XA1207672-190706-01786,0
I-B-XA1207672-190427-02252,0
I-B-XA1207672-190513-00136,0
I-B-XA1207672-190504-01226,0
I-B-XA1207672-190907-01131,0
I-B-XA1207672-190520-01045,0
I-B-XA1207672-190527-00067,0
I-B-XA1207672-190508-01118,0
I-B-XA1207672-190504-00347,0
I-B-XA1207672-190815-01730,0
I-B-XA1207672-190508-03706,0
I-B-XA1207672-190815-00423,0
I-B-XA1207672-190713-00102,0
I-B-XA1207672-190503-01160,0
I-B-XA1207672-190610-00341,0
I-B-XA1207672-190802-01281,0
I-B-XA1207672-190830-00954,0
I-B-XA1207672-190801-01667,0
I-B-XA1207672-190530-03455,0
I-B-XA1207672-190829-00111,0
I-B-XA1207672-190713-00717,0
I-B-XA1207672-190906-03132,0
I-B-XA1207672-190906-03476,0
I-B-XA1207672-190831-00681,0
I-B-XA1207672-190713-00223,0
I-B-XA1207672-190706-02214,0
I-B-XA1207672-190712-01219,0
I-B-XA1207672-190815-00794,0
I-B-XA1207672-190906-03215,0
I-B-XA1207672-190508-01974,0
I-B-XA1207672-190425-00481,0
I-B-XA1207672-190508-03460,0
I-B-XA1207672-190424-02885,0
I-B-XA1207672-190615-01734,0
I-B-XA1207672-190713-00123,0
I-B-XA1207672-190905-00477,0
I-B-XA1207672-190907-01180,0
I-B-XA1207672-190621-01280,0
I-B-XA1207672-190520-01010,0
I-B-XA1207672-190504-01637,0
I-B-XA1207672-190503-00869,0
I-B-XA1207672-190802-00723,0
I-B-XA1207672-190830-02638,0
I-B-XA1207672-190802-02102,0
I-B-XA1207672-190425-00715,0
I-B-XA1207672-190828-00789,0
I-B-XA1207672-190906-03225,0
I-B-XA1207672-190822-00583,1
I-B-XA1207672-190502-01314,0
I-B-XA1207672-190822-00420,0
I-B-XA1207672-190509-00107,0
I-B-XA1207672-190802-01620,0
I-B-XA1207672-190531-00169,0
I-B-XA1207672-190905-03655,0
I-B-XA1207672-190504-01242,0
I-B-XA1207672-190828-00879,0
I-B-XA1207672-190712-00744,0
I-B-XA1207672-190830-02498,0
I-B-XA1207672-190504-01027,0
I-B-XA1207672-190513-00119,0
I-B-XA1207672-190703-00990,0
I-B-XA1207672-190627-00893,0
I-B-XA1207672-190907-01226,0
I-B-XA1207672-190627-01125,0
I-B-XA1207672-190422-00540,0
I-B-XA1207672-190803-00582,0
I-B-XA1207672-190610-00904,0
I-B-XA1207672-190829-00183,0
